Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
2,13,437,1118846980200,16.467,35.381,6451137.641,1873344.962,14.5,4.9,2,40,0,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,14,437,1118846980300,16.447,39.381,6451140.329,1873342,14.5,4.9,2,40,0,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,15,437,1118846980400,16.426,43.381,6451143.018,1873339.038,14.5,4.9,2,40,0,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,16,437,1118846980500,16.405,47.38,6451145.706,1873336.077,14.5,4.9,2,40,0,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,17,437,1118846980600,16.385,51.381,6451148.395,1873333.115,14.5,4.9,2,40,0,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,18,437,1118846980700,16.364,55.381,6451151.084,1873330.153,14.5,4.9,2,40,0,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,19,437,1118846980800,16.344,59.381,6451153.772,1873327.192,14.5,4.9,2,40,0,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,20,437,1118846980900,16.323,63.379,6451156.461,1873324.23,14.5,4.9,2,40.02,0.25,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,21,437,1118846981000,16.303,67.383,6451159.149,1873321.268,14.5,4.9,2,40.03,0.13,2,NA,NA,NA,NA,NA,NA,0,0,0,0,us-101
2,22,437,1118846981100,16.282,71.398,6451161.838,1873318.307,14.5,4.9,2,39.93,-1.63,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,23,437,1118846981200,16.262,75.401,6451164.546,1873315.323,14.5,4.9,2,39.61,-4.54,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,24,437,1118846981300,16.254,79.349,6451167.199,1873312.382,14.5,4.9,2,39.14,-5.73,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,25,437,1118846981400,16.221,83.233,6451169.802,1873309.533,14.5,4.9,2,38.61,-5.15,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,26,437,1118846981500,16.201,87.043,6451172.358,1873306.719,14.5,4.9,2,38.28,-1.61,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,27,437,1118846981600,16.169,90.829,6451174.961,1873303.87,14.5,4.9,2,38.42,3.73,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,28,437,1118846981700,16.204,94.683,6451177.613,1873300.929,14.5,4.9,2,38.78,4.86,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,29,437,1118846981800,16.252,98.611,6451180.342,1873297.924,14.5,4.9,2,38.92,0,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,30,437,1118846981900,16.339,102.56,6451182.98,1873294.961,14.5,4.9,2,38.54,-8.59,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,31,437,1118846982000,16.4,106.385,6451185.537,1873292.122,14.5,4.9,2,37.51,-11.2,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,32,437,1118846982100,16.43,110.079,6451188.021,1873289.408,14.5,4.9,2,36.34,-10.86,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,33,437,1118846982200,16.435,113.628,6451190.424,1873286.817,14.5,4.9,2,35.5,-6.2,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,34,437,1118846982300,16.478,117.118,6451192.757,1873284.247,14.5,4.9,2,35.08,-1.89,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,35,437,1118846982400,16.52,120.6,6451195.109,1873281.656,14.5,4.9,2,34.96,0.18,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,36,437,1118846982500,16.562,124.096,6451197.462,1873279.065,14.5,4.9,2,34.98,0.25,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,37,437,1118846982600,16.605,127.597,6451199.814,1873276.473,14.5,4.9,2,35,0.04,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,38,437,1118846982700,16.647,131.099,6451202.167,1873273.882,14.5,4.9,2,34.99,-0.2,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,39,437,1118846982800,16.691,134.595,6451204.519,1873271.29,14.5,4.9,2,34.98,-0.02,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,40,437,1118846982900,16.727,138.081,6451206.879,1873268.7,14.5,4.9,2,35.1,1.95,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,41,437,1118846983000,16.796,141.578,6451209.191,1873266.113,14.5,4.9,2,35.49,5.55,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,42,437,1118846983100,16.795,145.131,6451211.61,1873263.514,14.5,4.9,2,36.2,8.99,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,43,437,1118846983200,16.724,148.784,6451214.156,1873260.882,14.5,4.9,2,37.15,10.44,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,44,437,1118846983300,16.588,152.559,6451216.824,1873258.213,14.5,4.9,2,38.12,9.3,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,45,437,1118846983400,16.376,156.449,6451219.616,1873255.522,14.5,4.9,2,38.76,4.36,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,46,437,1118846983500,16.064,160.379,6451222.548,1873252.829,14.5,4.9,2,38.95,-0.73,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,47,437,1118846983600,15.763,164.277,6451225.462,1873250.139,14.5,4.9,2,38.95,-1.15,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,48,437,1118846983700,15.471,168.15,6451228.376,1873247.45,14.5,4.9,2,38.99,1.9,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,49,437,1118846983800,15.226,172.044,6451231.29,1873244.76,14.5,4.9,2,39.18,3.47,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,50,437,1118846983900,14.979,176,6451234.204,1873242.071,14.5,4.9,2,39.34,0.02,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,51,437,1118846984000,14.72,179.959,6451237.144,1873239.374,14.5,4.9,2,39.2,-3.52,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,52,437,1118846984100,14.508,183.862,6451239.988,1873236.708,14.5,4.9,2,38.89,-3.28,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,53,437,1118846984200,14.331,187.716,6451242.77,1873234.057,14.5,4.9,2,38.73,-0.33,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,54,437,1118846984300,14.24,191.561,6451245.501,1873231.336,14.5,4.9,2,38.88,3.49,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,55,437,1118846984400,14.309,195.455,6451248.125,1873228.494,14.5,4.9,2,39.28,5,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,56,437,1118846984500,14.428,199.414,6451250.788,1873225.539,14.5,4.9,2,39.68,3.76,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,57,437,1118846984600,14.54,203.417,6451253.489,1873222.554,14.5,4.9,2,39.94,1.29,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,58,437,1118846984700,14.646,207.43,6451256.177,1873219.592,14.5,4.9,2,40.02,-0.22,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,59,437,1118846984800,14.751,211.431,6451258.866,1873216.63,14.5,4.9,2,40,-0.21,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,60,437,1118846984900,14.856,215.428,6451261.554,1873213.669,14.5,4.9,2,39.99,0,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,61,437,1118846985000,14.962,219.427,6451264.243,1873210.707,14.5,4.9,2,39.99,0,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,62,437,1118846985100,15.067,223.462,6451266.932,1873207.745,14.5,4.9,2,39.65,-5.35,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,63,437,1118846985200,15.172,227.422,6451269.62,1873204.784,14.5,4.9,2,38.92,-9.43,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,64,437,1118846985300,15.277,231.231,6451272.309,1873201.822,14.5,4.9,2,38.52,-2.79,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,65,437,1118846985400,15.449,235.001,6451274.98,1873198.862,14.5,4.9,2,38.8,8.59,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,66,437,1118846985500,15.64,238.909,6451277.771,1873195.899,14.5,4.9,2,39.72,11.2,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,67,437,1118846985600,15.807,242.958,6451280.605,1873192.927,14.5,4.9,2,40.76,7.11,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,68,437,1118846985700,15.907,247.137,6451283.539,1873189.952,14.5,4.9,2,41.07,-2.06,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,69,437,1118846985800,16.075,251.247,6451286.373,1873186.98,14.5,4.9,2,40.8,-3.98,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,70,437,1118846985900,16.266,255.292,6451289.164,1873184.016,14.5,4.9,2,40.59,-1.24,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,71,437,1118846986000,16.549,259.31,6451291.818,1873181.058,14.5,4.9,2,40.75,4.24,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,72,437,1118846986100,16.72,263.372,6451294.631,1873178.102,14.5,4.9,2,41.38,9.03,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,73,437,1118846986200,16.818,267.54,6451297.565,1873175.13,14.5,4.9,2,42.37,11.08,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,74,437,1118846986300,16.862,271.842,6451300.617,1873172.119,14.5,4.9,2,43.37,9.57,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,75,437,1118846986400,16.846,276.256,6451303.802,1873169.063,14.5,4.9,2,44.06,4.97,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,76,437,1118846986500,16.82,280.724,6451307.061,1873165.948,14.5,4.9,2,44.29,-0.65,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,77,437,1118846986600,16.777,285.172,6451310.284,1873162.893,14.5,4.9,2,44.13,-3.5,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,78,437,1118846986700,16.601,289.558,6451313.552,1873159.979,14.5,4.9,2,43.9,-1.76,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,79,437,1118846986800,16.381,293.914,6451316.83,1873157.118,14.5,4.9,2,43.92,2.12,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,80,437,1118846986900,16.205,298.301,6451320.098,1873154.204,14.5,4.9,2,44.21,4.33,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,81,437,1118846987000,16.156,302.746,6451323.336,1873151.142,14.5,4.9,2,44.59,3.77,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,82,437,1118846987100,16.17,307.236,6451326.566,1873148.001,14.5,4.9,2,44.87,1.79,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,83,437,1118846987200,16.159,311.743,6451329.809,1873144.882,14.5,4.9,2,44.99,0.32,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,84,437,1118846987300,16.149,316.247,6451333.053,1873141.76,14.5,4.9,2,45.01,-0.04,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,85,437,1118846987400,16.139,320.748,6451336.296,1873138.64,14.5,4.9,2,45.01,-0.03,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,86,437,1118846987500,16.129,325.248,6451339.539,1873135.52,14.5,4.9,2,45,-0.03,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,87,437,1118846987600,16.118,329.748,6451342.782,1873132.4,14.5,4.9,2,45,0,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,88,437,1118846987700,16.107,334.248,6451346.026,1873129.281,14.5,4.9,2,45,0,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,89,437,1118846987800,16.096,338.771,6451349.269,1873126.161,14.5,4.9,2,44.79,-3.32,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,90,437,1118846987900,16.086,343.249,6451352.512,1873123.041,14.5,4.9,2,44.32,-6.22,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,91,437,1118846988000,16.076,347.633,6451355.755,1873119.921,14.5,4.9,2,43.98,-3,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
2,92,437,1118846988100,16.085,351.981,6451358.998,1873116.802,14.5,4.9,2,43.97,2.95,2,NA,NA,NA,NA,NA,NA,0,13,0,0,us-101
